1	Bürgerschaft, Verfassungsgericht, Rechnungshof
1.1	Senat und Personalamt
1.2	Bezirksamt Hamburg-Mitte
1.3	Bezirksamt Altona
1.4	Bezirksamt Eimsbüttel
1.5	Bezirksamt Hamburg-Nord
1.6	Bezirksamt Wandsbek
1.7	Bezirksamt Bergedorf
1.8	Bezirksamt Harburg
2	Behörde für Justiz und Gleichstellung
3.1	Behörde für Schule und Berufsbildung
3.2	Behörde für Wissenschaft und Forschung
3.3	Kulturbehörde
4	Behörde für Arbeit, Soziales, Familie, und Integration
5	Behörde für Gesundheit und Verbraucherschutz
6	Behörde für Stadtentwicklung und Umwelt
7	Behörde für Wirtschaft, Verkehr und Innovation
8.1	Behörde für Inneres und Sport
9.1	Finanzbehörde
9.2	Allgemeine Finanzverwaltung
