01,Gemeinschaftssteuern und Gewerbesteuerumlage
02,EU-Eigenmittel
03,Bundessteuern
04,Bundessteuern
05,Landessteuern
06,Landessteuern
07,Gemeindesteuern
08,Gemeindesteuern
09,Steuerähnliche Abgaben
11,Verwaltungseinnahmen
12,Einnahmen aus wirtschaftlicher Tätigkeit und aus Vermögen (ohne Zinsen)
13,"Erlöse aus der Veräußerung von Gegenständen, Kapitalrückzahlungen"
14,Einnahmen aus der Inanspruchnahme von Gewährleistungen
15,Zinseinnahmen aus dem öffentlichen Bereich
16,Zinseinnahmen aus sonstigen Bereichen
17,Darlehensrückflüsse aus dem öffentlichen Bereich
18,Darlehensrückflüsse aus sonstigen Bereichen
21,Allgemeine (nicht zweckgebundene) Zuweisungen aus dem öffentlichen Bereich)
22,Schuldendiensthilfen aus dem öffentlichen Bereich
23,Sonstige (zweckgebundene) Zuweisungen aus dem öffentlichen Bereich
26,Schuldendiensthilfen und Erstattungen von Verwaltungsausgaben aus sonstigen Bereichen
27,Zuschüsse von der EU
28,Sonstige Zuschüsse aus sonstigen Bereichen
29,"Vermögensübertragungen, soweit nicht für Investitionen"
31,"Schuldenaufnahmen bei Gebietskörperschaften, Sondervermögen und gebietskörperschaftlichen Zusammenschlüssen"
32,Schuldenaufnahmen am Kreditmarkt
33,Zuweisungen für Investitionen aus dem öffentlichen Bereich
34,Beiträge und sonstige Zuschüsse für Investitionen
35,"Entnahmen aus Rücklagen, Fonds und Stöcken"
36,Einnahmen aus Überschüssen der Vorjahre
37,Globale Mehr- und Mindereinnahmen
38,Haushaltstechnische Verrechnungen
41,Aufwendungen für Abgeordnete und ehrenamtlich Tätige
42,Bezüge und Nebenleistungen
43,Versorgungsbezüge und dgl.
44,"Beihilfen, Unterstützungen und dgl."
45,Sonstige personalbezogene Ausgaben
46,Globale Mehr- und Minderausgaben für Personalausgaben
51,Sächliche Verwaltungsausgaben
52,Sächliche Verwaltungsausgaben
53,Sächliche Verwaltungsausgaben
54,Sächliche Verwaltungsausgaben
56,"Zinsausgaben an Gebietskörperschaften, Sondervermögen und gebietskörperschaftliche Zusammenschlüssen"
57,Zinsausgaben an Kreditmarkt
58,"Tilgungsausgaben an Gebietskörperschaften, Sondervermögen und gebietskörperschaftliche Zusammenschlüsse"
59,Tilgungsausgaben an Kreditmarkt
61,Allgemeine (nicht zweckgebundene) Zuweisungen an öffentlichen Bereich
62,Schuldendiensthilfen an öffentlichen Bereich
63,Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich
66,Schuldendiensthilfen an sonstige Bereiche
67,Erstattungen für laufende Zwecke an sonstige Bereiche
68,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche
69,"Vermögensübertragungen, soweit nicht für Investitionen"
70,Hochbaumaßnahmen
71,Hochbaumaßnahmen
72,Hochbaumaßnahmen
73,Hochbaumaßnahmen
74,Tiefbaumaßnahmen
75,Tiefbaumaßnahmen
76,Tiefbaumaßnahmen
77,Tiefbaumaßnahmen
78,Tiefbaumaßnahmen
79,Andere Baumaßnahmen
81,Erwerb von beweglichen Sachen
82,Erwerb von unbeweglichen Sachen
83,Erwerb von Beteiligungen und dgl.
85,Darlehen an öffentlichen Bereich
86,Darlehen an sonstige Bereiche
87,Inanspruchnahme aus Gewährleistungen
88,Zuweisungen für Investitionen an öffentlichen Bereich
89,Zuschüsse für Investitionen an sonstige Bereiche
91,"Zuführungen an Rücklagen, Fonds und Stöcke"
96,Ausgaben zur Deckung von Fehlbeträgen aus Vorjahren
97,Globale Mehr- und Minderausgaben
98,Haushaltstechnische Verrechnungen
